year,county,city,asmDist,senDist,flName,program,WABgrant
2023,Door,Egg Harbor,1,1,Birch Creek Music Performance Center,CPP/PRA,"4,050"
2023,Door,Egg Harbor,1,1,Birch Creek Music Performance Center,CPP/PRA,"8,540"
2023,Door,Fish Creek,1,1,Door Community Auditorium,CPP/PRA,"2,440"
2023,Door,Fish Creek,1,1,Door Community Auditorium,CPP/PRA,"5,600"
2023,Door,Baileys Harbor,1,1,Door Shakespeare,CPP/PRA,910
2023,Door,Baileys Harbor,1,1,Door Shakespeare,CPP/PRA,"1,920"
2023,Door,Ephraim,1,1,Francis Hardy Gallery,CPP/COA,"1,070"
2023,Door,Ephraim,1,1,Francis Hardy Gallery,CPP/COA,"2,260"
2023,Door,Sister Bay,1,1,"Midsummers Music, LTD",CPP/PRA,"1,920"
2023,Door,Sister Bay,1,1,"Midsummers Music, LTD",CPP/PRA,"4,050"
2023,Door,Sturgeon Bay,1,1,Miller Art Museum,CPP/COA,790
2023,Door,Sturgeon Bay,1,1,Miller Art Museum,CPP/COA,"1,670"
2023,Door,Fish Creek,1,1,Northern Sky Theater,CPP/PRA,"4,360"
2023,Door,Fish Creek,1,1,Northern Sky Theater,CPP/PRA,"9,170"
2023,Door,Fish Creek,1,1,Peninsula Players Theatre Foundation,CPP/PRA,"2,290"
2023,Door,Fish Creek,1,1,Peninsula Players Theatre Foundation,CPP/PRA,"10,870"
2023,Door,Fish Creek,1,1,Peninsula School of Art,CPP/PRA,"1,880"
2023,Door,Fish Creek,1,1,Peninsula School of Art,CPP/PRA,"3,940"
2023,Door,Sturgeon Bay,1,1,Third Avenue Playhouse,CPP/PRA,790
2023,Door,Sturgeon Bay,1,1,Third Avenue Playhouse,CPP/PRA,"1,670"
2023,Door,Fish Creek,1,1,Write On Door County,CCP/LAA,"6,000"
2024,Door,Egg Harbor,1,1,Birch Creek Music Performance Center,CPP/PRA,"14,310"
2024,Door,Baileys Harbor,1,1,Door Shakespeare,CPP/PRA,"2,000"
2024,Door,Baileys Harbor,1,1,Door Shakespeare,CPP/PRA,"1,350"
2024,Door,Ephraim,1,1,Francis Hardy Gallery,CPP/COA,"1,820"
2024,Door,Ephraim,1,1,Francis Hardy Gallery,CPP/COA,"2,000"
2024,Door,Sister Bay,1,1,"Midsummers Music, LTD",CPP/PRA,"3,000"
2024,Door,Sister Bay,1,1,"Midsummers Music, LTD",CPP/PRA,"2,970"
2024,Door,Fish Creek,1,1,Northern Sky Theater,CPP/PRA,"6,160"
2024,Door,Fish Creek,1,1,Northern Sky Theater,CPP/PRA,"10,000"
2024,Door,Fish Creek,1,1,Peninsula Players Theatre Foundation,CPP/PRA,"11,000"
2024,Door,Fish Creek,1,1,Peninsula Players Theatre Foundation,CPP/PRA,"4,720"
2024,Door,Fish Creek,1,1,Peninsula School of Art,CPP/PRA,"4,000"
2024,Door,Fish Creek,1,1,Peninsula School of Art,CPP/PRA,"2,680"
2024,Door,Sturgeon Bay,1,1,Third Avenue Playhouse,CPP/PRA,850
2024,Door,Sturgeon Bay,1,1,Third Avenue Playhouse,CPP/PRA,"2,000"
2024,Door,Fish Creek,1,1,Write On Door County,CCP/AIE,"4,000"
2024,Kewaunee,Algoma,1,1,Artbeet Incorporated,XSA,"2,500"
2024,Calumet,Brillion,3,1,Brillion Nature Study Center Association,XSA,"2,500"
2023,Brown,Green Bay,4,2,Civic Symphony of Green Bay,CPP/COA,"2,460"
2024,Brown,Green Bay,4,2,Civic Symphony of Green Bay,CPP/COA,"2,850"
2023,Outagamie,Oneida,5,2,Woodland Indian Art,WIA,"2,900"
2024,Brown,Oneida,5,2,Oneida Nation Arts Program,RGT,"11,500"
2024,Brown,De Pere,5,2,Ukwakhwa,WIA,"4,390"
2023,Menominee,Keshena,6,2,College of Menominee Nation,WIA,"6,000"
2023,Shawno,Gresham,6,2,Mohican Writers Circle,WIA,"5,800"
2023,Shawno,Bowler,6,2,Stockbridge-Munsee Community,WIA,"5,950"
2023,Milwaukee,Milwaukee,8,3,Arts at Large,CPP/PRA,"2,520"
2023,Milwaukee,Milwaukee,8,3,Arts at Large,CPP/PRA,"5,320"
2023,Milwaukee,Milwaukee,8,3,Ex Fabula,CPP/COA,790
2023,Milwaukee,Milwaukee,8,3,Ex Fabula,CPP/COA,"1,670"
2023,Milwaukee,Milwaukee,8,3,Latino Arts,ACI,"6,450"
2023,Milwaukee,Milwaukee,8,3,Latino Arts,CPP/PRA,"1,950"
2023,Milwaukee,Milwaukee,8,3,Latino Arts,CPP/PRA,"4,090"
2023,Milwaukee,Milwaukee,8,3,Next Act Theatre,CPP/PRA,"9,840"
2023,Milwaukee,Milwaukee,8,3,Walkers Point Center for the Arts,ACI,"6,450"
2024,Milwaukee,Milwaukee,8,3,Arts at Large,CPP/PRA,"7,840"
2024,Milwaukee,Milwaukee,8,3,Ex Fabula,CPP/COA,"2,000"
2024,Milwaukee,Milwaukee,8,3,Ex Fabula,CPP/COA,850
2024,Milwaukee,Milwaukee,8,3,Estela Alejandra Jimenez,FAA,"3,500"
2024,Milwaukee,Milwaukee,8,3,Joy Engine,CPP/PRA,"5,050"
2024,Milwaukee,Milwaukee,8,3,Latino Arts,ACI,"9,000"
2024,Milwaukee,Milwaukee,8,3,Latino Arts,CPP/PRA,"4,000"
2024,Milwaukee,Milwaukee,8,3,Latino Arts,CPP/PRA,"3,160"
2024,Milwaukee,Milwaukee,8,3,Next Act Theatre,CPP/PRA,"10,340"
2024,Milwaukee,Milwaukee,8,3,Walkers Point Center for the Arts,ACI,"9,000"
2024,Milwaukee,Milwaukee,8,3,Yesica Coria Zavaleta,FAA,"3,500"
2023,Milwaukee,Milwaukee,9,3,Bembe Drum & Dance,ACI,"6,440"
2023,Milwaukee,Milwaukee,9,3,Bembe Drum & Dance,CCP/FOL,"4,950"
2023,Milwaukee,Milwaukee,9,3,Pink Umbrella Theater Company,CCP/AIE,"2,000"
2024,Milwaukee,Milwaukee,9,3,Bembe Drum & Dance,CCP/FOL,"6,000"
2024,Milwaukee,Milwaukee,9,3,Pink Umbrella Theater Company,CCP/AIE,"3,000"
2024,Milwaukee,Milwaukee,14,3,Wisconsin Lutheran College,CPP/PRA,"2,850"
2023,Milwaukee,Milwaukee,10,4,Ko-Thi Dance Company,ACI,"6,440"
2023,Milwaukee,Milwaukee,10,4,Master Singers of Milwaukee,CPP/COA,"2,460"
2023,Milwaukee,Milwaukee,10,4,Solomon Community Temple,CCP/AIE,"6,000"
2024,Milwaukee,Glendale,10,4,Glen Hills Middle School,CCP/AIE,"6,000"
2024,Milwaukee,Milwaukee,10,4,"SHARP Literacy, Inc.",CCP/AIE,"6,000"
2024,Milwaukee,Milwaukee,10,4,Ko-Thi Dance Company,ACI,"9,000"
2024,Milwaukee,Milwaukee,10,4,Ko-Thi Dance Company,CPP/PRA,"2,850"
2023,Milwaukee,Milwaukee,12,4,Milwaukee Choristers,CPP/COA,"2,460"
2024,Milwaukee,Milwaukee,12,4,Milwaukee Choristers,CPP/COA,"2,850"
2023,Milwaukee,Milwaukee,13,5,Concord Chamber Orchestra,CPP/COA,"2,460"
2023,Waukesha,Brookfield,13,5,Kripa Baskaran,FAA,"3,500"
2023,Waukesha,Elm Grove,13,5,Milwaukee Opera Theatre,CPP/PRA,"2,460"
2023,Waukesha,Brookfield,13,5,Lavanyaa Surendar,FAA,"3,500"
2024,Milwaukee,Milwaukee,13,5,Concord Chamber Orchestra,CPP/COA,"2,850"
2024,Milwaukee,Milwaukee,13,5,Ward Irish Music Archives,CCP/FOL,"5,300"
2024,Waukesha,Brookfield,13,5,Kripa Baskaran,FAA,"3,500"
2024,Waukesha,Elm Grove,13,5,Milwaukee Opera Theatre,CPP/PRA,"2,850"
2024,Waukesha,Brookfield,13,5,Lavanyaa Surendar,FAA,"3,500"
2024,Milwaukee,Milwaukee,14,5,Kids From Wisconsin,CPP/COA,"7,260"
2023,Milwaukee,Milwaukee,14,5,Kids From Wisconsin,CPP/COA,"6,130"
2023,Milwaukee,Milwaukee,14,5,Wisconsin Lutheran College,CPP/PRA,"2,460"
2023,Waukesha,Brookfield,15,5,Sharon Lynne Wilson Center for the Arts,CPP/PRA,"10,000"
2024,Waukesha,Brookfield,15,5,Sharon Lynne Wilson Center for the Arts,CPP/PRA,"10,700"
2024,Milwaukee,Milwaukee,16,6,Florentine Opera Company,CPP/PRA,"15,470"
2024,Milwaukee,Milwaukee,16,6,Islands of Brilliance,CCP/AIE,"5,000"
2023,Milwaukee,Milwaukee,16,6,First Stage Milwaukee,CPP/PRA,"15,990"
2023,Milwaukee,Milwaukee,16,6,Islands of Brilliance,CCP/AIE,"5,000"
2023,Milwaukee,Milwaukee,16,6,Marquette University,CPP/PRA,"7,090"
2023,Milwaukee,Milwaukee,16,6,Milwaukee Youth Symphony Orchestra,CPP/PRA,"16,660"
2023,Milwaukee,Milwaukee,16,6,Optimist Theatre,CPP/PRA,"2,460"
2023,Milwaukee,Milwaukee,16,6,Woodland Pattern,CPP/PRA,"2,150"
2023,Milwaukee,Milwaukee,16,6,Woodland Pattern,CPP/PRA,"4,550"
2023,Milwaukee,Milwaukee,16,6,Xalaat Africa Drum & Dance for Life,ACI,"6,440"
2024,Milwaukee,Milwaukee,16,6,First Stage Milwaukee,CPP/PRA,"17,620"
2024,Milwaukee,Milwaukee,16,6,Marquette University,CPP/PRA,"8,140"
2024,Milwaukee,Milwaukee,16,6,Milwaukee Film,CPP/PRA,"11,630"
2024,Milwaukee,Milwaukee,16,6,Milwaukee Youth Symphony Orchestra,CPP/PRA,"18,050"
2024,Milwaukee,Milwaukee,16,6,Optimist Theatre,CPP/PRA,"2,850"
2024,Milwaukee,Milwaukee,16,6,Signature Dance Company,ACI,"9,000"
2024,Milwaukee,Milwaukee,16,6,Woodland Pattern,CPP/PRA,"4,000"
2024,Milwaukee,Milwaukee,16,6,Woodland Pattern,CPP/PRA,"3,690"
2024,Milwaukee,Milwaukee,16,6,Xalaat Africa Drum & Dance for Life,ACI,"3,000"
2024,Milwaukee,Milwaukee,16,6,Xalaat Africa Drum & Dance for Life,CPP/PRA,"2,850"
2023,Milwaukee,Milwaukee,16,6,Florentine Opera Company,CPP/PRA,"13,040"
2024,Milwaukee,Milwaukee,17,6,"Capita Productions, Inc.",CCP/AIE,"6,000"
2023,Milwaukee,Franklin,18,6,Bel Canto Chorus of Milwaukee,CPP/PRA,"5,560"
2023,Milwaukee,Milwaukee,18,6,Milwaukee Artist Resource Network,CCP/LAA,"3,000"
2023,Milwaukee,Milwaukee,18,6,Signature Dance Company,ACI,"6,440"
2024,Milwaukee,Franklin,18,6,Bel Canto Chorus of Milwaukee,CPP/PRA,"5,560"
2023,Milwaukee,Milwaukee,19,7,Art Start Incorporated,CCP/AIE,"5,510"
2024,Milwaukee,Milwaukee,19,7,Present Music,CPP/PRA,"4,380"
2024,Milwaukee,Milwaukee,19,7,Art Start Incorporated,CCP/AIE,"6,000"
2024,Milwaukee,Milwaukee,19,7,Theatre Gigante,CPP/PRA,"3,370"
2023,Milwaukee,Milwaukee,19,7,Aperi Animam,CPP/PRA,"2,460"
2023,Milwaukee,Milwaukee,19,7,Artworks for Milwaukee,CCP/AIE,"5,210"
2023,Milwaukee,Milwaukee,19,7,Black Arts MKE,ACI,"6,450"
2023,Milwaukee,Milwaukee,19,7,Black Arts MKE,CPP/PRA,"3,850"
2023,Milwaukee,Milwaukee,19,7,Boulevard Ensemble,CPP/PRA,"2,460"
2023,Milwaukee,Milwaukee,19,7,Charles Allis-Villa Terrace Museums,CCP/AIE,"4,750"
2023,Milwaukee,Milwaukee,19,7,Danceworks,CPP/PRA,"10,580"
2023,Milwaukee,Milwaukee,19,7,Early Music Now,CPP/PRA,"2,460"
2023,Milwaukee,Milwaukee,19,7,Frankly Music,CPP/PRA,"2,460"
2023,Milwaukee,Milwaukee,19,7,Marcus Center for the Performing Arts,CPP/PRA,"17,830"
